forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/22/2016 12:00:00 AM,12/22/2016 12:00:00 AM,PJM RTO,16118,4485,3968,7665
12/22/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Western,10461,2686,2849,4926
12/22/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Mid Atlantic - Dominion,5236,1769,1998,1469
12/22/2016 12:00:00 AM,12/23/2016 12:00:00 AM,PJM RTO,15838,4455,5684,5699
12/22/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Western,10602,2686,3686,4230
12/22/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Mid Atlantic - Dominion,5102,1769,2130,1203
12/22/2016 12:00:00 AM,12/24/2016 12:00:00 AM,PJM RTO,14792,4455,6213,4124
12/22/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Western,9690,2686,4083,2921
12/22/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Mid Atlantic - Dominion,3602,1475,1647,480
12/22/2016 12:00:00 AM,12/25/2016 12:00:00 AM,PJM RTO,11748,4161,5642,1945
12/22/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Western,8146,2686,3995,1465
12/22/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,3281,1475,1326,480
12/22/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,9923,4161,3898,1864
12/22/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,6642,2686,2572,1384
12/22/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4075,1475,2120,480
12/22/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,10786,3833,5216,1737
12/22/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,6711,2358,3096,1257
12/22/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,4135,1475,2180,480
12/22/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,9070,2780,4741,1549
12/22/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,4935,1305,2561,1069
12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,Mid Atlantic - Dominion,5370,1799,1708,1863
12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,PJM RTO,16621,4485,6226,5910
12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,Western,11251,2686,4518,4047
12/21/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Mid Atlantic - Dominion,6105,1799,2786,1520
12/21/2016 12:00:00 AM,12/22/2016 12:00:00 AM,PJM RTO,14692,4485,5112,5095
12/21/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Western,8587,2686,2326,3575
12/21/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Mid Atlantic - Dominion,4658,1769,1957,932
12/21/2016 12:00:00 AM,12/23/2016 12:00:00 AM,PJM RTO,13176,4455,4725,3996
12/21/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Western,8518,2686,2768,3064
12/21/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Mid Atlantic - Dominion,4710,1769,2131,810
12/21/2016 12:00:00 AM,12/24/2016 12:00:00 AM,PJM RTO,10995,4455,3668,2872
12/21/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Western,6285,2686,1537,2062
12/21/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Mid Atlantic - Dominion,3560,1475,1648,437
12/21/2016 12:00:00 AM,12/25/2016 12:00:00 AM,PJM RTO,8525,4161,3021,1343
12/21/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Western,4965,2686,1373,906
12/21/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,3239,1475,1327,437
12/21/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,7621,4161,2123,1337
12/21/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,4382,2686,796,900
12/21/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,3243,1475,1331,437
12/21/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,6501,2780,2452,1269
12/21/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,3258,1305,1121,832
12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,Mid Atlantic - Dominion,6841,1799,2636,2406
12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,PJM RTO,17427,4485,4815,8127
12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,Western,10586,2686,2179,5721
12/20/2016 12:00:00 AM,12/21/2016 12:00:00 AM,Mid Atlantic - Dominion,4713,1799,1997,917
12/20/2016 12:00:00 AM,12/21/2016 12:00:00 AM,PJM RTO,13383,4485,4610,4288
12/20/2016 12:00:00 AM,12/21/2016 12:00:00 AM,Western,8670,2686,2613,3371
12/20/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Mid Atlantic - Dominion,4652,1799,2035,818
12/20/2016 12:00:00 AM,12/22/2016 12:00:00 AM,PJM RTO,11693,4485,3871,3337
12/20/2016 12:00:00 AM,12/22/2016 12:00:00 AM,Western,7041,2686,1836,2519
12/20/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Mid Atlantic - Dominion,3918,1769,1331,818
12/20/2016 12:00:00 AM,12/23/2016 12:00:00 AM,PJM RTO,10302,4455,3246,2601
12/20/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Western,6384,2686,1915,1783
12/20/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Mid Atlantic - Dominion,4055,1769,1590,696
12/20/2016 12:00:00 AM,12/24/2016 12:00:00 AM,PJM RTO,8058,4455,1924,1679
