Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-15,51300,Public,7,,41.130631,-1.574357,1.114988
2019-11-15,51300,Public,8,,44.739369,-1.623821,0.89319
2019-11-15,51300,Public,9,,34.683582,-1.066979,-0.009439
2019-11-15,51300,Public,10,,32.282735,-0.352933,-0.254332
2019-11-15,51300,Public,11,,30.543174,-0.551984,-0.344842
2019-11-15,51300,Public,12,,33.184713,-0.492942,3.987655
2019-11-15,51300,Public,13,,32.030181,-0.328119,4.3683
2019-11-15,51300,Public,14,,33.907807,-0.192101,6.439908
2019-11-15,51300,Public,15,,26.747748,-0.041683,0.139431
2019-11-15,51300,Public,16,,26.6219,-0.085302,0.037202
2019-11-15,51300,Public,17,,29.090025,-0.204221,0.024246
2019-11-15,51300,Public,18,,35.650301,-0.654896,-0.664803
2019-11-15,51300,Public,19,,32.166642,-0.69216,0.018802
2019-11-15,51300,Public,20,,30.091902,-0.855883,-0.232215
2019-11-15,51300,Public,21,,28.929058,-0.614593,0.383651
2019-11-15,51300,Public,22,,27.99708,-0.583546,0.430626
2019-11-15,51300,Public,23,,25.940477,-0.312956,0.473433
2019-11-15,51300,Public,24,,25.516488,-0.178085,0.444573
2019-11-15,51298,Public,1,,27.556244,0.501396,0.724848
2019-11-15,51298,Public,2,,27.284512,0.517856,0.766656
2019-11-15,51298,Public,3,,27.405442,0.497722,1.01772
2019-11-15,51298,Public,4,,27.404183,0.511287,1.022896
2019-11-15,51298,Public,5,,28.078389,0.594759,0.95363
2019-11-15,51298,Public,6,,31.001922,0.641391,1.410531
2019-11-15,51298,Public,7,,46.53642,1.025356,3.921064
2019-11-15,51298,Public,8,,52.206498,1.208477,5.528021
2019-11-15,51298,Public,9,,38.269344,0.599755,1.909589
2019-11-15,51298,Public,10,,33.976589,0.326621,0.759968
2019-11-15,51298,Public,11,,32.310226,0.151976,0.71825
2019-11-15,51298,Public,12,,29.652695,0.136464,-0.173769
2019-11-15,51298,Public,13,,28.001555,0.083887,-0.072332
2019-11-15,51298,Public,14,,27.436126,0.029197,-0.253071
2019-11-15,51298,Public,15,,27.211223,0.108455,0.452768
2019-11-15,51298,Public,16,,27.232033,0.152141,0.409892
2019-11-15,51298,Public,17,,29.986156,0.227938,0.488218
2019-11-15,51298,Public,18,,38.373604,0.263237,1.140367
2019-11-15,51298,Public,19,,34.648369,0.213262,1.595107
2019-11-15,51298,Public,20,,33.16178,0.200037,1.781743
2019-11-15,51298,Public,21,,30.432622,0.147713,1.124909
2019-11-15,51298,Public,22,,29.549813,0.189381,1.210432
2019-11-15,51298,Public,23,,26.936349,0.080122,1.076227
2019-11-15,51298,Public,24,,26.003508,-0.182957,0.936465
2019-11-15,51299,Public,1,,26.09305,-0.342496,0.105546
2019-11-15,51299,Public,2,,25.778389,-0.431575,0.209964
2019-11-15,51299,Public,3,,25.58427,-0.435919,0.130189
2019-11-15,51299,Public,4,,25.457685,-0.484039,0.071724
2019-11-15,51299,Public,5,,26.073825,-0.51404,0.057865
2019-11-15,51299,Public,6,,27.243795,-0.590942,-1.115263
2019-11-15,51299,Public,7,,37.561719,-0.881127,-3.147154
2019-11-15,51299,Public,8,,39.730207,-1.159367,-4.580426
2019-11-15,51299,Public,9,,30.322995,-0.860612,-4.576393
2019-11-15,51299,Public,10,,28.503242,-0.676146,-3.710612
2019-11-15,51299,Public,11,,26.575361,-1.013572,-3.851067
2019-11-15,51299,Public,12,,25.188466,-0.832817,-3.668717
2019-11-15,51299,Public,13,,24.599127,-0.721101,-2.669772
2019-11-15,51299,Public,14,,24.647634,-0.793356,-2.21901
2019-11-15,51299,Public,15,,24.805374,-0.556496,-1.28813
2019-11-15,51299,Public,16,,25.034751,-0.623775,-1.011474
2019-11-15,51299,Public,17,,27.790992,-0.472256,-1.006752
2019-11-15,51299,Public,18,,34.457021,-0.869328,-1.643651
2019-11-15,51299,Public,19,,29.699233,-1.021657,-2.11911
2019-11-15,51299,Public,20,,27.825483,-1.029444,-2.325073
2019-11-15,51299,Public,21,,27.686357,-1.024945,-0.448698
2019-11-15,51299,Public,22,,27.037122,-0.894666,-0.218212
2019-11-15,51299,Public,23,,25.175344,-0.949222,0.344566
2019-11-15,51299,Public,24,,24.695311,-0.951251,0.396562
2019-11-15,51301,Public,1,,26.782518,0.414003,0.038515
2019-11-15,51301,Public,2,,26.400871,0.240258,0.160613
2019-11-15,51301,Public,3,,26.007206,0.139186,-0.02198
2019-11-15,51301,Public,4,,25.863003,0.078426,-0.085423
2019-11-15,51301,Public,5,,26.515629,0.025479,-0.03985
2019-11-15,51301,Public,6,,27.501907,-0.008673,-1.43942
2019-11-15,51301,Public,7,,36.90548,-0.336089,-4.348431
2019-11-15,51301,Public,8,,38.023397,-0.881177,-6.565426
2019-11-15,51301,Public,9,,30.06785,-0.32608,-5.36607
2019-11-15,51301,Public,10,,28.694868,-0.163319,-4.031813
2019-11-15,51301,Public,11,,26.690682,-0.610854,-4.138464
2019-11-15,51301,Public,12,,25.498268,-0.419695,-3.772037
2019-11-15,51301,Public,13,,24.777647,-0.378855,-2.833498
2019-11-15,51301,Public,14,,24.857479,-0.463265,-2.339256
2019-11-15,51301,Public,15,,24.941631,-0.196634,-1.511735
2019-11-15,51301,Public,16,,25.239497,-0.273418,-1.157085
2019-11-15,51301,Public,17,,28.076164,-0.009352,-1.184484
2019-11-15,51301,Public,18,,34.613901,-0.268624,-2.087475
